Publisher,Journal title,Article title,Cost
Elsevier ,Social Science & Medicine ,Managing misaligned paternity findings in research involving sickle cell screening in Kenya; consulting communities to inform policy ,"£1 834,77"
Elsevier,Social Science and Medicine,Towards a differentiated understanding of active travel behaviour: Using social theory to explore everyday commuting,"£1 189,77"
Elsevier,Social Science and Medicine,"Healthy travel and the socio-economic structure of car commuting in Cambridge, UK: A mixed-methods analysis","£1 189,77"
Elsevier,Social Science and Medicine,The social dynamics of consent and refusal in HIV surveillance in rural South Africa Social Science and Medicine,"£1 836,92"
Elsevier,Social Science and Medicine,Household-based cash transer targeting strategies in Zimbabwe: are we reaching the most vulnerable children?,"£2 281,51"
Elsevier,Social Science and Medicine,We view that as contraceptive failure: Containing the multiplicity of contraception and abortion within Scottish reproductive healthcare,"£2 480,56"
Sage,Social Studies of Science,"How personality became treatable: The mutual constitution of clinical  knowledge and mental health law

http://sss.sagepub.com/
SocialStudies of Science
 http://sss.sagepub.com/content/43/1/30Theonline version of this article can be found at:DOI: 10.1177/03063127124577222013 43: 30 originally published online 29 October 2012
Social Studies of Science
Martyn Pickersgill
","£1 920,00"
Wiley,Sociology of Health & Illness,The 'window of opportunity' for death after severe brain injury: Family experiences,"£1 514,10"
Wiley Subscription Services,Sociology of Health & Illness,"Risk, governance and the experience of care","£1 598,18"
Taylor and Francis,South Asian History and Culture,"Quinine, Mosquitoes and Empire: Reassembling Malaria in British India","£2 145,60"
American Speech-Language-Hearing Association,Speech Language and Hearing Research,Developmental Trajectories of Verbal and Nonverbal Skills in Individuals with a History of Specific Language Impairment: From Childhood to Adolescence,"£1 969,02"
Springer,Springer,Intracerebral immune complex formation induces inflammation in the brain that depends on Fc receptor interaction. ,"£1 981,19"
Springer Science + Business Media,Springer Science + Business Media,Differential expression of extracellular matrix components in the fallopian tubes throughout the menstrual cycle,"£1 117,37"
Wiley-Blackwell,Statistics in Medicine,Combining multiple imputation and meta-analysis with individual participant data,"£791,19"
Cell Press,Stem Cell Reports,Rebuilding pluripotency from primordial germ cells,"£2 340,55"
Elsevier,Stem Cell Research,Density of human bone marrow stromal cells regulates commitment to vascular lineages,"£2 215,76"
Wiley,Stem Cells,Uterine Vasculature Remodelling in Human Pregnancy Involves Functional Macro-chimerism by Endothelial Colony Forming Cells of fetal origin,"£1 287,75"
Wiley,Stem Cells,Hes1 Desynchronizes Differentiation of Pluripotent Cells by Modulating STAT3 Activity.,"£1 826,00"
Wiley Subscription Serviices Inc,Stem Cells,Derivation and functional analysis of patient-specific induced pluripotent stem cells as an in vitro model of chronic  granulomatous disease,"£1 533,71"
Wiley-Blackwell,Stem Cells,Matrix remodelling maintains ESC self-renewal by activating Stat3,"£1 551,49"
"Mary Ann Liebert, Inc. Publishers",Stem Cells and Development,Mesoangioblasts Suppress T Cell Proliferation Through IDO & PGE-2 Dependent Pathways,"£1 371,54"
Elsevier,Structure,Structures of lysenin reveal a shared evolutionary origin for pore-forming proteins and its mode of sphingomyelin recognition.,"£3 628,83"
Elsevier,Structure,Wzi Is an Outer Membrane Lectin that Underpins Group 1 Capsule Assembly in Escherichia coli,"£3 748,00"
Elsevier,Structure,Functional Insights from the Crystal Structure of the N-Terminal Domain of the Prototypical Toll Receptor,"£3 832,72"
Elsevier,Structure,RNA tertiary interactions in a riboswitch stabilize the structure of a kink turn. ,"£3 899,19"
Elsevier,Structure,Structure of the Catalytic Region of DNA Ligase IV in Complex with an Artemis Fragment Sheds Light on Double-Strand Break Repair,"£4 072,42"
Elsevier,Structure,"The architecture of EssB, an integral membrane component of the type VII secretion system","£4 095,97"
Elsevier / Cell Science,STRUCTURE,Redox-linked domain movements in the catalytic cycle of cytochrome P450 reductase,"£3 895,64"
Elsevier,Studies in History and Philosophy of Science Part C,Making space for criminalistics: Hans Gross and fin-de-siècle CSI,"£2 467,88"
Elsevier,Studies in History and Philosophy of Science Part C: Studies in History and Philosophy of Biological and Biomedical Sciences,Natural History and Information Overload: The Case of Linnaeus,"£2 395,00"
Wiley-Blackwell,Synapse,Presynaptic pH and vesicle fusion in Drosophila larvae neurones,"£1 961,68"
Elsevier,Tetrahedron Letters,"An E/Z conformational behaviour study on the trypanocidal action of lipophilic spiro carbocyclic 2,6-diketopiperazine-1-acetohydroxamic acids.","£1 457,41"
Elsevier,The Americal Journal of Human Genetics,"Identification of mutations in SL24A4, encoding a potassium-dependent sodium/calcium exchanger, as a cause of amelogenesis imperfecta","£2 433,90"
American Society of Human Genetics (Elsevier),THE AMERICAN JOURNAL OF HUMAN GENETICS,Mutations in DPAGT1 Cause a Limb-Girdle Congenital Myasthenic Syndrome with Tubular Aggregates,"£2 181,09"
Elsevier,The American Journal of Human Genetics,"Inactivation of IL11 signaling causes craniosynostosis, delayed tooth eruption, and supernumerary teeth.","£1 773,74"
Elsevier,The American Journal of Human Genetics,"Homozygous Mutations in PXDN Cause Congential Cataract, Corneal Opacity and Developmental Glaucoma","£2 080,69"
Elsevier,The American Journal of Human Genetics,Discovery and Fine Mapping of Serum Protein Loci through Transethnic Meta-analysis.,"£3 714,29"
Portland Press,The Biochemical Journal,Subtype-selective regulation of IP3 receptors by thimerosal via cysteine residues within the IP3-binding core and suppressor domain,"£1 800,00"
Portland Press,The Biochemical Journal,"Inhibition of LRRK2 kinase activity leads to dephosphorylation of Ser910/Ser935, disruption of 14-3-3 binding and altered cytoplasmic localisation","£1 800,00"
Royal College of Psychiatrists,The British Journal of Psychiatry,Ethnic density as a buffer for psychotic experiences: findings from a national survey (EMPIRIC),"£3 000,00"
Royal College of Psychiatrists,The British Journal of Psychiatry,Pattern recognition analysis of anterior cingulate cortex blood flow to classify depression polarity,"£3 000,00"
Nature Publishing Group,The EMBO journal,Endocytic tubules regulated by Rab GTPases 5 and 11 are used for envelopment of herpes simplex virus,"£1 560,00"
Nature Publishing Group,The EMBO Journal,TRIAD1 and HHARI bind to and are activated by distinct neddylated Cullin-RING ligase complexes,"£3 120,00"
Wiley-Blackwell,The European Journal of Neuroscience,Hyperpolarization-activated ion channels as targets for nitric oxide signalling in deep cerebellar nuclei,"£1 982,35"
FASEB,The FASEB Journal,Asprin-triggered 15-epi lipoxin A4 predicts cyclooxygenase-2 in the lungs of LPS-treated mice but not in the circulation:implications for a clinical test,"£824,16"
Federation of American Societies for Experimental Biology,The FASEB Journal,"Production, characterization, and antigen specificity of recombinant 62-71-3, a candidate monoclonal antibody for rabies rpophylasis in humans","£1 652,90"
Federation of American Societies for Experimental Biology (FASEB),The FASEB Journal,Flavones induce neutrophil apoptosis by down-regulation of Mcl-1 via a proteasomal-dependent pathway.,"£1 578,93"
Federation of American Societies for Experimental Biology (FASEB),The FASEB Journal,11β-hydroxysteroid dehydrogenase type 1 deficiency in bone marrow-derived cells reduces atherosclerosis,"£1 670,77"
Wiley,The FEBS Journal,Tetrameric structure of SUR2B from electron microscopy of oriented single particles,"£1 879,96"
Taylor and Francis,The History of the Family,"Parenthood, child-rearing and fertility in England, 1850-1914","£2 316,79"
Elsevier,The International Journal of Biochemistry & Cell Biology,Testoterone protects female embryonic heart H9C2 cells against severe metabolic stress by activating estrogen receptors and up-regulating IES SUR2B,"£2 410,82"
Springer,The Journal of Abnormal Child Psychology and Psychiatry ,The Value of Measuring Impact Alongside Symptoms in Children and Adolescents: A Longitudinal Assessment in a Community Sample.,"£2 247,34"
American Society for Biochemistry and Molecular Biology ,The Journal of Biological Chemistry,Endomembrane HRas controls vascular endothelial growth factor-induced nitric oxide synthase-mediated endothelial cell migration,"£1 166,60"
ASBMB,The journal of Biological Chemistry,The T-cel receptor triggering apparatus is composed of monovalent or monomeric proteins,"£1 281,15"
ASBMB,The Journal of Biological Chemistry,Galactose 6-o-sulfotransferases are not required for the generation of siglec-f ligands in leukocytes or lung tissue.,"£1 311,73"
ASBMB,The Journal of Biological Chemistry,Allosteric activation of trypanosomatid deoxyhypusine synthase by a catalytically dead paralog,"£1 324,57"
ASBMB,The Journal of Biological Chemistry,Structure of a Complex Phosphoglycan Epitope from gp72 of Trypanosoma cruzi,"£1 340,75"
ASBMB,The Journal of Biological Chemistry,Structural and functional characterisation of the kindlin-1 pleckstrin homology domain,"£1 518,46"
ASBMB,The Journal of Biological Chemistry,T-Cell Receptor specifically maintained by altered thermodyamics,"£1 566,89"
MIT PRESS OPEN ACCESS,The Journal of Cognitive Neuroscience,Perceptual Integration for Qualitatively Different 3D Cues,"£797,88"
Dartmouth Journal Services,The Journal of Immunology,GRB2-Mediated Recruitment of THEMIS to LAT Is Essential for Thymocyte Development,"£2 025,65"
Oxford University Press,The Journal of Infectious Diseases,Schistosoma mansoni infection in pre-school-aged children: the development of IgE and IgG4 responses to parasite allergen-like proteins,"£2 040,00"
Nature publishing group,The Journal of investigative dermatology,T-Cell Reconstitution after Thymus Xenotransplantation Induces Hair Depigmentation and Loss,"£2 520,00"
